species,individual_ID,leaf_number,wet_leafpetiole_g,dry_leafpetiole_g,area_cm2,area_m2,SLA_cm2g,SLA_m2kg,leaf_LDMC_proportion,leaf_LDMC_percent,leaf_thickness_check_cm,leaf_thickness_mm,,,,, , , , , , 
CEOL,ceol1,1,0.1668,0.0573,11.05,0.001105,192.8446771,19.28446771,0.34352518,34.35251799,0.009,0.09,,,,,,,,,,
CEOL,ceol1,2,0.1181,0.0478,7.794,0.0007794,163.0543933,16.30543933,0.404741744,40.47417443,0.011,0.11,,,,,,,,,,
CEOL,ceol1,3,0.077,0.021,5.676,0.0005676,274.2028986,27.42028986,0.268134715,26.8134715,0.014,0.14,,,,,,,,,,
CEOL,ceol1,4,0.125,0.049,8.531,0.0008531,175.174538,17.5174538,0.390224359,39.0224359,0.021,0.21,,,,,,,,,,
CEOL,ceol4,1,0.064,0.024,4.096,0.0004096,168.5596708,16.85596708,0.379095164,37.90951638,0.012,0.12,,,,,,,,,,
CEOL,ceol4,2,0.064,0.022,4.156,0.0004156,187.2072072,18.72072072,0.346333853,34.63338534,0.011,0.11,,,,,,,,,,
CEOL,ceol4,3,0.057,0.025,3.064,0.0003064,122.0717131,12.20717131,0.44112478,44.11247803,0.019,0.19,,,,,,,,,,
CEOL,ceol4,4,0.049,0.015,3.492,0.0003492,231.2582781,23.12582781,0.308793456,30.8793456,0.01,0.1,,,,,,,,,,
CEOL,ceol6,1,0.081,0.028,5.457,0.0005457,197.0036101,19.70036101,0.341975309,34.19753086,0.019,0.19,,,,,,,,,,
CEOL,ceol6,2,0.0649,0.023,3.99,0.000399,173.4782609,17.34782609,0.354391371,35.43913713,0.02,0.2,,,,,,,,,,
CEOL,ceol6,3,0.0621,0.0254,3.383,0.0003383,133.1889764,13.31889764,0.409017713,40.90177134,0.02,0.2,,,,,,,,,,
CEOL,ceol6,4,0.0541,0.0169,3.713,0.0003713,219.704142,21.9704142,0.312384473,31.23844732,0.013,0.13,,,,,,,,,,
CEOL,ceol9,1,0.047,0.018,3.088,0.0003088,175.4545455,17.54545455,0.373673036,37.36730361,0.018,0.18,,,,,,,,,,
CEOL,ceol9,2,0.024,0.008,1.941,0.0001941,231.0714286,23.10714286,0.347107438,34.7107438,0.019,0.19,,,,,,,,,,
CEOL,ceol9,3,0.049,0.02,2.644,0.0002644,133.5353535,13.35353535,0.400809717,40.08097166,0.023,0.23,,,,,,,,,,
CEOL,ceol9,4,0.017,0.008,0.935,0.0000935,116.875,11.6875,0.465116279,46.51162791,0.02,0.2,,,,,,,,,,
HEAR,H1,1,0.222,0.1,6.637,0.0006637,72.141,7.2141,0.45045045,45.04504505,0.031,0.31,,,,,,,,,,
HEAR,H1,2,0.255,0.111,6.758,0.0006758,65.612,6.5612,0.435294118,43.52941176,0.035,0.35,,,,,,,,,,
HEAR,H1,3,0.208,0.091,5.562,0.0005562,65.435,6.5435,0.4375,43.75,0.035,0.35,,,,,,,,,,
HEAR,H1,4,0.14,0.064,4.162,0.0004162,70.542,7.0542,0.457142857,45.71428571,0.031,0.31,,,,,,,,,,
HEAR,H2,1,0.277,0.137,7.488,0.0007488,57.6,5.76,0.494584838,49.45848375,0.035,0.35,,,,,,,,,,
HEAR,H2,2,0.234,0.117,6.995,0.0006995,63.591,6.3591,0.5,50,0.031,0.31,,,,,,,,,,
HEAR,H2,3,0.333,0.167,9.471,0.0009471,61.5,6.15,0.501501502,50.15015015,0.032,0.32,,,,,,,,,,
HEAR,H2,4,0.147,0.074,4.016,0.0004016,59.059,5.9059,0.503401361,50.34013605,0.034,0.34,,,,,,,,,,
HEAR,H3,1,0.447,0.194,11.572,0.0011572,62.551,6.2551,0.434004474,43.40044743,0.037,0.37,,,,,,,,,,
HEAR,H3,2,0.2,0.09,4.352,0.0004352,52.434,5.2434,0.45,45,0.042,0.42,,,,,,,,,,
HEAR,H3,3,0.188,0.087,5.715,0.0005715,70.556,7.0556,0.462765957,46.27659574,0.031,0.31,,,,,,,,,,
HEAR,H3,4,0.115,0.048,4.737,0.0004737,105.267,10.5267,0.417391304,41.73913043,0.023,0.23,,,,,,,,,,
HEAR,H4,1,0.182,0.086,5.123,0.0005123,64.038,6.4038,0.472527473,47.25274725,0.033,0.33,,,,,,,,,,
HEAR,H4,2,0.196,0.093,5.309,0.0005309,61.733,6.1733,0.474489796,47.44897959,0.034,0.34,,,,,,,,,,
HEAR,H4,3,0.147,0.072,4.018,0.0004018,59.088,5.9088,0.489795918,48.97959184,0.035,0.35,,,,,,,,,,
HEAR,H4,4,0.261,0.121,6.954,0.0006954,62.089,6.2089,0.463601533,46.36015326,0.035,0.35,,,,,,,,,,
RHOV,rhov-12,11,0.2726,0.0858,6.18,0.000618,72.02797203,7.202797203,0.314746882,31.47468819,0.046,0.46,,,,,,,,,,
RHOV,rhov-12,12,0.3376,0.1358,6.724,0.0006724,49.51399116,4.951399116,0.402251185,40.22511848,0.053,0.53,,,,,,,,,,
RHOV,rhov-12,13,0.3018,0.1155,6.396,0.0006396,55.37662338,5.537662338,0.382703777,38.27037773,0.055,0.55,,,,,,,,,,
RHOV,rhov-12,14,0.203,0.0591,4.993,0.0004993,84.48392555,8.448392555,0.291133005,29.11330049,0.047,0.47,,,,,,,,,,
